"Acura"|"1986"|"2010"|"58"
"Aston Martin"|"1985"|"2009"|"77"
"Audi"|"1985"|"2010"|"73"
"BMW"|"1985"|"2010"|"31"
"Buick"|"1985"|"2010"|"45"
"Cadillac"|"1985"|"2010"|"46"
"Chevrolet"|"1985"|"2010"|"47"
"Chrysler"|"1985"|"2010"|"39"
"Dodge"|"1985"|"2010"|"40"
"Ford"|"1985"|"2010"|"54"
"Freightliner"|"1992"|"2008"|"497"
"GMC"|"1985"|"2010"|"48"
"Geo"|"1989"|"1997"|"50"
"Honda"|"1985"|"2010"|"59"
"Hummer"|"2002"|"2010"|"93"
"Hyundai"|"1985"|"2010"|"3"
"Infiniti"|"1990"|"2010"|"68"
"International"|"1985"|"2009"|"71"
"Isuzu"|"1985"|"2008"|"37"
"Jaguar"|"1985"|"2010"|"20"
"Jeep"|"1985"|"2010"|"42"
"Kia"|"1994"|"2010"|"21"
"Land Rover"|"1987"|"2010"|"11"
"Lexus"|"1990"|"2010"|"75"
"Lincoln"|"1985"|"2010"|"55"
"Mazda"|"1985"|"2010"|"80"
"Mercedes-Benz"|"1985"|"2010"|"63"
"Mercury"|"1985"|"2010"|"56"
"Mini"|"2002"|"2010"|"32"
"Mitsubishi"|"1985"|"2010"|"72"
"Nissan"|"1985"|"2010"|"67"
"Oldsmobile"|"1985"|"2004"|"51"
"Plymouth"|"1985"|"2001"|"43"
"Pontiac"|"1985"|"2010"|"52"
"Saab"|"1985"|"2009"|"65"
"Saturn"|"1991"|"2009"|"53"
"Scion"|"2004"|"2010"|"91"
"Subaru"|"1985"|"2010"|"13"
"Suzuki"|"1985"|"2010"|"1"
"Toyota"|"1985"|"2010"|"76"
"Volkswagen"|"1985"|"2010"|"74"
"Volvo"|"1985"|"2010"|"27"
